,design,predictor,sample_type,sample_size,train_size,folds,dim,lambd,mean_precision,mean_recall,mean_fscore,mean_auprc,mean_size_err,median_precision,median_recall,median_fscore,median_auprc,median_size_err
87,wb_dma,suspect2vec,solver,0.5,,2.0,20.0,0.0,0.73829972,0.8031855529999999,0.7496578859999999,0.734437236,0.489461112,0.831395349,0.76744186,0.755813953,0.733244384,0.11627907
88,ethernet,DATE,solver,0.5,,3.0,,,0.8003126290000001,0.774332501,0.767290835,0.815843813,0.296430968,0.865359262,0.7620224720000001,0.789435436,0.915094935,0.237025147
89,ethernet,random,solver,0.5,,3.0,,,0.5449351092896175,0.4995106129098662,0.4443080965985252,0.614837634652658,1.221201142927256,0.5416666666666667,0.5143325143325144,0.4854545454545455,0.5929968754963919,0.4642857142857143
90,ethernet,suspect2vec,solver,0.5,,3.0,20.0,0.0,0.801588438,0.8997988490000001,0.8179592509999999,0.852321668,0.7038635459999999,0.911392405,0.971428571,0.8894205209999999,0.952570796,0.151643573
91,fdct,DATE,solver,0.5,,3.0,,,0.9096760726404132,0.8314262109508183,0.8611433081728939,0.8667949297628477,0.16725712693085146,0.9379807692307692,0.8184121621621622,0.8603471735455408,0.9062236727984374,0.1613953488372093
92,fdct,random,solver,0.5,,3.0,,,0.5924384242383831,0.4973112150689455,0.4835688161510244,0.6276409053711035,0.6468327063716366,0.5877192982456141,0.5313725490196078,0.4913793103448276,0.6309032452000292,0.575927750410509
93,fdct,suspect2vec,solver,0.5,,3.0,20.0,0.0,0.9608112173523716,0.8559539744896281,0.8995351764422643,0.8836396536677901,0.14224959200769874,0.9921422408480216,0.8747401247401247,0.904192597445136,0.9585676727230601,0.0812382149591452
94,mips789,DATE,solver,0.5,,3.0,,,0.904243065,0.7316904590000001,0.804139438,0.841540107,0.209479577,0.940828402,0.72361809,0.8195329090000001,0.88212442,0.214285714
95,mips789,random,solver,0.5,,3.0,,,0.5977751972550664,0.5229376226813239,0.5104356232788501,0.661757320427709,0.7555124374823253,0.5754189944134078,0.5384615384615384,0.5367316341829085,0.6517390000775485,0.3741007194244605
96,mips789,suspect2vec,solver,0.5,,3.0,20.0,0.0,0.875338159,0.7951121409999999,0.8182430470000001,0.872745785,0.298814277,0.943396226,0.80952381,0.832635983,0.92096767,0.140350877
97,sudoku_check,DATE,solver,0.5,,3.0,,,0.7829095693125341,0.8135765408010942,0.7804386773775717,0.8641804730948138,0.26332758994844546,0.8108108108108109,0.8656716417910447,0.8059701492537313,0.942593462951762,0.2258064516129032
98,sudoku_check,random,solver,0.5,,3.0,,,0.5634480207177208,0.4892445465138203,0.4655737162973936,0.5908082974834546,0.6460093612639539,0.5098039215686274,0.5081967213114754,0.44067796610169496,0.5833266302775509,0.5
99,sudoku_check,suspect2vec,solver,0.5,,3.0,20.0,0.0,0.8986725663835455,0.8554392909751724,0.8649690701970982,0.8795122008069982,0.16539048968209288,0.972972972972973,0.9230769230769232,0.9367088607594936,0.9565860540985316,0.07692307692307693
100,vga,DATE,solver,0.5,,3.0,,,0.821623378,0.74985141,0.768134215,0.7684957929999999,0.261232665,0.873604795,0.721681598,0.778554779,0.805268835,0.25
101,vga,random,solver,0.5,,3.0,,,0.5656318300549068,0.4901583510248307,0.44495735782446505,0.6236058628158898,1.033808592242684,0.4692047817047818,0.5197318007662836,0.444022644022644,0.5946504499292529,0.6010601915184679
102,vga,suspect2vec,solver,0.5,,3.0,20.0,0.0,0.823088855,0.824447712,0.805012033,0.806965488,0.294674505,0.88578365,0.8514978320000001,0.821709965,0.862698999,0.20782726
103,wb_dma,DATE,solver,0.5,,3.0,,,0.8000512679999999,0.7084291420000001,0.743781475,0.699495544,0.190094145,0.8472222220000001,0.692671395,0.757763975,0.755158835,0.168224299
104,wb_dma,random,solver,0.5,,3.0,,,0.5447513618035417,0.4893466974303324,0.43225892865736654,0.645381020617856,1.372279783388658,0.5483870967741935,0.5303030303030303,0.4729559748427673,0.6313176822965161,0.6786324786324787
105,wb_dma,suspect2vec,solver,0.5,,3.0,20.0,0.0,0.756917862,0.82290411,0.763178487,0.764735165,0.6546859620000001,0.831460674,0.8017094020000001,0.80733945,0.789022805,0.147260274
106,ethernet,DATE,solver,0.5,,5.0,,,0.815843413,0.805222946,0.790083999,0.85376343,0.28751554100000004,0.884214445,0.787058824,0.807289012,0.945886348,0.224269006
107,ethernet,random,solver,0.5,,5.0,,,0.5316111673436621,0.4978429258841012,0.4368322615832719,0.6091539961267659,1.2601622855759045,0.5254237288135594,0.5205479452054794,0.47893805309734494,0.5942290017323975,0.5809074646283949
108,ethernet,suspect2vec,solver,0.5,,5.0,20.0,0.0,0.8486600590000001,0.900235937,0.8520850390000001,0.880210108,0.461829831,0.96,0.970738455,0.89597587,0.96317375,0.132704403
109,fdct,DATE,solver,0.5,,5.0,,,0.8850716726486876,0.8479199127311721,0.8608920118175903,0.8679026974154335,0.13224775390694654,0.9164171656686626,0.8378378378378378,0.8652450090744102,0.9064685404822059,0.1277966101694915
110,fdct,random,solver,0.5,,5.0,,,0.5825042910172389,0.4933745121514355,0.473741251190446,0.6149944990007371,0.6995917190560981,0.5418464193270061,0.52,0.4830437407755266,0.610177714127537,0.5685714285714286
111,fdct,suspect2vec,solver,0.5,,5.0,20.0,0.0,0.9530046847953659,0.8655899038787822,0.9000813707608433,0.8826817003954909,0.1444747615922138,1.0,0.9074239713774596,0.9147278770253426,0.9612568828202144,0.07636363636363636
112,mips789,DATE,solver,0.5,,5.0,,,0.903841708,0.7365137190000001,0.80645624,0.843521849,0.208060452,0.948905109,0.723360656,0.824242424,0.8785059009999999,0.206030151
113,mips789,random,solver,0.5,,5.0,,,0.5930695343314046,0.5207180259897284,0.5080791417284716,0.6580094868261899,0.7532720554470934,0.5649717514124294,0.5333333333333333,0.5344827586206897,0.6481064804664506,0.3615384615384615
114,mips789,suspect2vec,solver,0.5,,5.0,20.0,0.0,0.887346084,0.794519997,0.824233199,0.878845408,0.285127103,0.946969697,0.7935483870000001,0.8392554990000001,0.926966344,0.13636363599999998
115,sudoku_check,DATE,solver,0.5,,5.0,,,0.7985866394633181,0.828204312432828,0.7969174657960836,0.8758398636966114,0.2461056450409728,0.8,0.9032258064516128,0.8059701492537313,0.9492198524679488,0.2272727272727273
116,sudoku_check,random,solver,0.5,,5.0,,,0.5343935309973047,0.4887022519213588,0.4527459467634189,0.5862620058723828,0.6559681144506759,0.52,0.5172413793103449,0.4516129032258064,0.5824283610114156,0.6129032258064516
117,sudoku_check,suspect2vec,solver,0.5,,5.0,20.0,0.0,0.913274958161176,0.8506571867772273,0.8698628521092291,0.8889452640028275,0.14666598184331062,0.9827586206896552,0.9230769230769232,0.9133858267716536,0.967251075210585,0.06896551724137931
118,vga,DATE,solver,0.5,,5.0,,,0.8241415809999999,0.7536151999999999,0.7714559670000001,0.781374207,0.250728721,0.880208333,0.72667245,0.77276362,0.793785325,0.237077737
119,vga,random,solver,0.5,,5.0,,,0.5802661137475259,0.4791550262051642,0.4520696257963967,0.6188941516814812,0.9139675088471326,0.4948979591836735,0.5149286987522281,0.4719805081796032,0.5961022630364664,0.5638254816253845
120,vga,suspect2vec,solver,0.5,,5.0,20.0,0.0,0.840721852,0.81719909,0.814561572,0.818313684,0.235770682,0.89773114,0.83588064,0.829710145,0.874238526,0.184991521
121,wb_dma,DATE,solver,0.5,,5.0,,,0.8180908170000001,0.7275225890000001,0.7606744409999999,0.7198808720000001,0.203596773,0.8304093570000001,0.7084019770000001,0.776572668,0.764366993,0.168246445
122,wb_dma,random,solver,0.5,,5.0,,,0.5443601812649431,0.4895434409788853,0.4295438666303593,0.6423832680152701,1.3907246003304363,0.5396825396825397,0.5272727272727272,0.4431418522860493,0.6320181378377716,0.6763698630136986
123,wb_dma,suspect2vec,solver,0.5,,5.0,20.0,0.0,0.7624840909999999,0.8169207759999999,0.765845778,0.75674701,0.6421893320000001,0.8389830509999999,0.7886597940000001,0.797086368,0.7826780940000001,0.13592233
124,ethernet,DATE,solver,0.5,,10.0,,,0.815343499,0.82483445,0.8004329929999999,0.8697101209999999,0.28113617,0.87654321,0.853065775,0.812185066,0.961895422,0.2
125,ethernet,random,solver,0.5,,10.0,,,0.5387568798937561,0.5006002091865287,0.4394521274291809,0.6056612987627883,1.2818123313000829,0.525,0.5250069463739928,0.4738955823293173,0.5936544768168646,0.5544772019776598
126,ethernet,suspect2vec,solver,0.5,,10.0,20.0,0.0,0.87358867,0.8951499740000001,0.8658001470000001,0.8922011459999999,0.4090726220000001,0.973333333,0.972321429,0.921859234,0.977242492,0.089611872
127,fdct,DATE,solver,0.5,,10.0,,,0.8509364335130708,0.8695441696046943,0.8536269741786595,0.8775336558569073,0.14208478929050336,0.8822923816060397,0.88,0.8507425742574257,0.9097180793147888,0.0828752642706131
128,fdct,random,solver,0.5,,10.0,,,0.5835823851001949,0.4857291791755667,0.4715747220879341,0.6071335965431348,0.6823298364043294,0.5256927629808985,0.5157072368421053,0.4860784082882035,0.6056718286164964,0.5602780005346164
129,fdct,suspect2vec,solver,0.5,,10.0,20.0,0.0,0.9656093391709883,0.8668643715500499,0.9075366981584188,0.8958513659063084,0.13528806068004912,1.0,0.928752642706131,0.9176014402437336,0.9604667373552652,0.07272727272727272
130,mips789,DATE,solver,0.5,,10.0,,,0.90527508,0.7276638009999999,0.801480348,0.844700887,0.21786873,0.949275362,0.711956522,0.81748072,0.8773293670000001,0.215384615
131,mips789,random,solver,0.5,,10.0,,,0.5900618437631151,0.519872032519031,0.5054556669139008,0.6533400276536854,0.7719964044049358,0.5257731958762887,0.5365853658536586,0.5320334261838441,0.6449915432905453,0.3797909407665505
132,mips789,suspect2vec,solver,0.5,,10.0,20.0,0.0,0.880698751,0.798716788,0.822317964,0.8823521129999999,0.28466633,0.952,0.787356322,0.839895013,0.928666882,0.15555555599999998
133,sudoku_check,DATE,solver,0.5,,10.0,,,0.7857478367629901,0.8398897032487289,0.7946418047948397,0.8823355365560176,0.2709784588711092,0.8,0.9090909090909092,0.8059701492537313,0.9653745883499972,0.2307692307692308
134,sudoku_check,random,solver,0.5,,10.0,,,0.5575874958194345,0.48603091881461,0.4596625311955376,0.5826677072872578,0.6862114660711066,0.56,0.5074626865671642,0.42857142857142855,0.5740579873927162,0.6538461538461539
135,sudoku_check,suspect2vec,solver,0.5,,10.0,20.0,0.0,0.9101386255463246,0.8403410883356446,0.8626385582635151,0.8919681776998509,0.15176584425012826,0.967391304347826,0.8965517241379308,0.9009009009009008,0.9680501818710754,0.07246376811594203
